"STATISTIC","Statistic Label","TLIST(A1)","Year","C03788V04538","County","C02665V03225","NACE Rev 2 Economic Sector","UNIT","VALUE"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1452-13a3-e055-000000000001","Co. Donegal","Q","Human health and social work activities (Q)","Euro","34697"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1452-13a3-e055-000000000001","Co. Donegal","Y0900","Industry (B to E)","Euro","30591"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1452-13a3-e055-000000000001","Co. Donegal","Y3500","Financial, insurance and real estate activities (K,L)","Euro","36663"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1452-13a3-e055-000000000001","Co. Donegal","Y7400","Arts, entertainment, recreation and other service activities (R,S)","Euro","19030"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-144f-13a3-e055-000000000001","Co. Dublin","-","All NACE economic sectors","Euro","44243"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-144f-13a3-e055-000000000001","Co. Dublin","F","Construction (F)","Euro","42616"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-144f-13a3-e055-000000000001","Co. Dublin","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","31579"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-144f-13a3-e055-000000000001","Co. Dublin","H","Transportation and storage (H)","Euro","45087"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-144f-13a3-e055-000000000001","Co. Dublin","I","Accommodation and food service activities (I)","Euro","21967"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-144f-13a3-e055-000000000001","Co. Dublin","J","Information and communication (J)","Euro","62632"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-144f-13a3-e055-000000000001","Co. Dublin","M","Professional, scientific and technical activities (M)","Euro","51389"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-144f-13a3-e055-000000000001","Co. Dublin","N","Administrative and support service activities (N)","Euro","31395"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-144f-13a3-e055-000000000001","Co. Dublin","O","Public administration and defence; compulsory social security (O)","Euro","51802"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-144f-13a3-e055-000000000001","Co. Dublin","P","Education (P)","Euro","49371"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-144f-13a3-e055-000000000001","Co. Dublin","Q","Human health and social work activities (Q)","Euro","41543"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-144f-13a3-e055-000000000001","Co. Dublin","Y0900","Industry (B to E)","Euro","51213"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-144f-13a3-e055-000000000001","Co. Dublin","Y3500","Financial, insurance and real estate activities (K,L)","Euro","62874"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-144f-13a3-e055-000000000001","Co. Dublin","Y7400","Arts, entertainment, recreation and other service activities (R,S)","Euro","30601"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1453-13a3-e055-000000000001","Co. Galway","-","All NACE economic sectors","Euro","37499"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1453-13a3-e055-000000000001","Co. Galway","F","Construction (F)","Euro","35628"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1453-13a3-e055-000000000001","Co. Galway","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","26869"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1453-13a3-e055-000000000001","Co. Galway","H","Transportation and storage (H)","Euro","34862"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1453-13a3-e055-000000000001","Co. Galway","I","Accommodation and food service activities (I)","Euro","20498"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1453-13a3-e055-000000000001","Co. Galway","J","Information and communication (J)","Euro","48745"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1453-13a3-e055-000000000001","Co. Galway","M","Professional, scientific and technical activities (M)","Euro","42341"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1453-13a3-e055-000000000001","Co. Galway","N","Administrative and support service activities (N)","Euro","26260"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1453-13a3-e055-000000000001","Co. Galway","O","Public administration and defence; compulsory social security (O)","Euro","43783"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1453-13a3-e055-000000000001","Co. Galway","P","Education (P)","Euro","50304"
